language-name,"English (United States)",Afrikaans,العربية,Беларускія,български,català,中文（简体）,中文（繁體）,hrvatski,čeština,Dansk,Nederlands,"English (United States)",eesti,Pilipino,suomalainen,français,Deutsch,ελληνικά,עברית,हिंदी,magyar,italiano,日本人,한국의,Latvijas,Lietuvos,Melayu,Norsk,فارسی,polski,"Português (Brasil)","Português (Portugal)",român,русский,српски,Slovenský,slovenščina,"Español (España)","Español (Estados Unidos)",Kiswahili,svensk,ภาษาไทย,Türk,Український,Việt
language-key,en-us,af,ar,be,bg,ca,zh-cn,zh-tw,hr,cs-cz,da-dk,nl-nl,en-us,et,fil,fi-fi,fr-fr,de-de,el-gr,iw-il,hi-in,hu-hu,it-it,ja-jp,ko-kr,lv,lt,ms,no-no,fa,pl-pl,pt-br,pt-pt,ro,ru-ru,sr,sk,sl,es-es,es-us,sw,sv-se,th,tr-tr,uk,vi
language-native-name,"English (United States)",Afrikaans,Arabic,Belarusian,Bulgarian,Catalan,"Chinese (Simplified)","Chinese (Traditional)",Croatian,Czech,Danish,Dutch,"English (United States)",Estonian,Filipino,Finnish,French,German,Greek,Hebrew,Hindi,Hungarian,Italian,Japanese,"Korean (South Korea)",Latvian,Lithuanian,Malay,Norwegian,Persian,Polish,"Portuguese (Brazil)","Portuguese (Portugal)",Romanian,Russian,Serbian,Slovak,Slovenian,"Spanish (Spain)","Spanish (United States)",Swahili,Swedish,Thai,Turkish,Ukrainian,Vietnamese
title-function,Function,funksie,وظيفة,функцыя,функция,Funció,功能,功能,funkcija,funkce,funktion,functie,Function,funktsioon,tungkulin,toiminto,fonction,Aufgabe,λειτουργία,פונקציה,समारोह,funkció,funzione,機能,기능,funkcija,funkcija,fungsi,funksjon,تابع,funkcja,função,função,funcție,функция,функција,funkcie,funkcija,función,función,kazi,Funktion,ฟังก์ชัน,fonksiyon,функція,"chức năng"
pri-equation,Equation:,vergelyking:,المعادلة:,раўнанне:,Формула:,Equació:,公式：,公式：,Jednadžba:,Rovnice:,ligning:,vergelijking:,Equation:,Valem:,equation:,yhtälöstä:,Equation:,Gleichung:,εξίσωση:,משוואה:,समीकरण:,egyenlet:,equazione:,方程式：,"식 :",vienādojums:,Lygtis:,persamaan:,ligning:,معادله:,równanie:,equação:,equação:,ecuația:,Уравнение:,Једначина:,rovnica:,enačba:,Ecuación:,Ecuación:,equation:,ekvation:,สมการ:,denklem:,рівняння:,"phương trình:"
sec-equation,"A function of x","N funksie van x","وثمة وظيفة من X","Функцыя X","Функция на х","Una funció de x",x的函数,x的函數,"Funkcija x","Funkce x","En funktion af x","Een functie van x","A function of x","Funktsioon x","Ang isang pag-andar ng x","Funktio x","Une fonction de x","Eine Funktion von x","Μια συνάρτηση του x","פונקציה של X","एक्स के एक समारोह","Függvénye x","Una funzione di x",xの関数,"X의 기능","Funkcija x","X funkcija","Satu fungsi x","En funksjon av x","تابع از x","X funkcji","A função de x","A função de x","O funcție de x","Функция X","Функција од к","Funkcia x","Funkcija x","Una función de x","Una función de x","Kazi ya x","En funktion av x","ฟังก์ชั่นของ x","X'in bir fonksiyonu","Функція X","Một chức năng của x"
pri-color,Color:,kleur:,اللون:,колер:,Цвят:,Color:,颜色：,顏色：,Boja:,Barva:,farve:,Kleur:,Color:,Värvus:,kulay:,väri:,Couleur:,Farbe:,Χρώμα:,צבע:,रंग:,Szín:,Colore:,色：,"색상 :",krāsa:,spalva:,warna:,farge:,رنگ:,Kolor:,Cor:,Cor:,culoare:,Цвет:,Боја:,farba:,Barva:,color:,color:,Michezo:,Färg:,สี:,renk:,колір:,"màu sắc:"
sec-equation-color,"Which color the function should be drawn with","Watter kleur die funksie moet opgestel word met","أي لون وينبغي وضع وظيفة مع","Які колер функцыі варта рабіць з","Кой цвят на функцията трябва да бъде изготвен с","Quin color de la funció ha de ser dibuixada amb",哪种颜色的功能，应绘制,哪種顏色的功能，應繪製,"Koju boju funkcija treba biti izvučeni s","Jaká barva funkce by měly být vypracovány s","Hvilken farve funktionen bør udarbejdes med","Welke kleur de functie moet worden getrokken met","Which color the function should be drawn with","Milline värv funktsioon tuleb välja koos","Aling kulay ang function ay dapat iguguhit na may","Mikä väri toiminta on piirretty","Quelle est la couleur la fonction doit être établi avec","Welche Farbe sollte die Funktion mit gezogen werden","Ποιο χρώμα η λειτουργία θα πρέπει να γίνει με","איזה צבע צריך להיות נמשך לתפקד עם","समारोह के साथ तैयार किया जाना चाहिए जो रंग","Milyen színű a funkciót kell levonni","Di che colore la funzione dovrebbe essere disegnata",機能で描画されるべきである色,"기능으로 그려되어야하는 색상","Kura krāsa funkcija jāizstrādā ar","Kokios spalvos funkcija turi būti sudarytas su","Yang warna fungsi perlu dibuat dengan","Hvilken farge funksjonen bør trekkes med","کدام رنگ تابع باید با کشیده","Który kolor funkcja powinna być narysowany","Qual a cor da função deve ser elaborado com","Qual a cor da função deve ser elaborado com","Ce culoare funcția ar trebui să fie elaborate cu","Какой цвет функции следует делать с","Коју боју функцију треба нацртати","Aká farba funkcie by mali byť vypracované s","Katera barva se funkcija vlečejo s","¿Qué color de la función debe ser dibujada con","¿Qué color de la función debe ser dibujada con","Ambayo rangi kazi lazima inayotolewa na","Vilken färg funktionen ska ritas med",ซึ่งฟังก์ชั่นสีควรจะวาดด้วย,"Fonksiyonu ile çizilmelidir hangi renk","Який колір функції слід робити з","Mà màu sắc chức năng nên được rút ra với"
opt-red,red,rooi,أحمر,чырвоны,червен,vermell,红色,紅色,crven,červený,red,rood,red,punane,pula,punainen,rouge,red,κόκκινος,אדום,लाल,piros,rosso,赤,빨강,sarkans,raudonas,merah,red,قرمز,czerwony,vermelho,vermelho,roșu,красный,црвен,červený,rdeča,rojo,rojo,nyekundu,röd,สีแดง,kırmızı,червоний,đỏ
opt-orange,orange,oranje,البرتقالي,аранжавы,портокал,taronja,橙,橙,naranča,oranžový,appelsin,oranje,orange,oranž,kahel,oranssi,d'orange,Orange,πορτοκάλι,תפוז,नारंगी,narancs,arancione,オレンジ,오렌지,oranžs,oranžinis,oren,orange,نارنجی,pomarańczowy,laranja,laranja,portocaliu,оранжевый,поморанџа,oranžový,oranžna,naranja,naranja,machungwa,apelsin,สีส้ม,turuncu,помаранчевий,cam
